,timestamp,rotation,position,actual_linear_vel,actual_angular_vel,wheel_names,wheel_effort,wheel_vel,commanded_linear,commanded_angular
0,4.13,[ 1.80805426e-06  4.84606549e-07 -4.63643313e-02  9.98924596e-01],[-0.07923553  0.09503802  0.        ],[ 0.60342426 -2.03460969  0.        ],0.5634983834372801,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.141,[ 1.76924262e-06 -6.98283455e-08 -5.07393682e-02  9.98711929e-01],[-0.08032168  0.08307166  0.        ],[-0.0987407  -1.08785089  0.        ],0.7964011369823129,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.16,[ 1.61134826e-06 -1.86013371e-06 -6.53160938e-02  9.97864624e-01],[-0.08154482  0.09261023  0.        ],[-0.06437582  0.50203035  0.        ],1.5369958288793912,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.182,[ 1.53176547e-06 -1.92855795e-06 -7.55121575e-02  9.97144881e-01],[-0.09325176  0.07897148  0.        ],[-0.53213357 -0.61994336  0.        ],0.9292254547773294,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.192,[ 1.62579918e-06 -8.31975282e-07 -7.98794077e-02  9.96804535e-01],[-0.09325176  0.07897148  0.        ],[0. 0. 0.],0.8760991372201121,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.21,[ 1.70952521e-06  3.48796126e-07 -8.47301243e-02  9.96403937e-01],[-0.07346612  0.1079429   0.        ],[1.09920249 1.60952328 0.        ],0.5408039046160666,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.224,[ 1.93484841e-06  2.50438493e-06 -9.44254664e-02  9.95531934e-01],[-0.07494659  0.10464071  0.        ],[-0.10574849 -0.23587077  0.        ],1.3906451326409048,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.232,[ 1.78170200e-06  1.29194615e-06 -9.92684530e-02  9.95060689e-01],[-0.04670357  0.10203322  0.        ],[ 3.53037765 -0.32593562  0.        ],1.2164661793622173,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.253,[ 8.89082342e-07  2.32351685e-08 -1.09429553e-01  9.93994554e-01],[-0.06948945  0.08657275  0.        ],[-1.08504155 -0.73621286  0.        ],0.9730402405156574,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.261,[ 8.89082342e-07  2.32351685e-08 -1.09429553e-01  9.93994554e-01],[-0.09009911  0.10087135  0.        ],[-2.57620805  1.78732443  0.        ],0.0,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.272,[ 1.52291075e-06  6.44142152e-07 -1.19089065e-01  9.92883576e-01],[-0.09104926  0.07879346  0.        ],[-0.08637692 -2.00708091  0.        ],1.767859898467328,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.283,[ 1.52291075e-06  6.44142152e-07 -1.19089065e-01  9.92883576e-01],[-0.08551038  0.05542597  0.        ],[ 0.50353382 -2.12431674  0.        ],0.0,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.293,[ 1.51131471e-06  7.21115398e-07 -1.23917875e-01  9.92292477e-01],[-0.08546884  0.11265144  0.        ],[4.15451041e-03 5.72254664e+00 0.00000000e+00],0.9729717796443095,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.3,[ 1.50848439e-06  8.70303867e-07 -1.28744914e-01  9.91677744e-01],[-0.12012209  0.10016199  0.        ],[-4.95046514 -1.78420765  0.        ],1.3902943940689256,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.31,[ 1.53250629e-06  1.18537551e-06 -1.34051792e-01  9.90974327e-01],[-0.06014381  0.12454924  0.        ],[5.99782836 2.43872585 0.        ],1.0706598276789951,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.312,[ 1.58302565e-06  1.56977264e-06 -1.38391172e-01  9.90377647e-01],[-0.06014381  0.12454924  0.        ],[0. 0. 0.],4.3802141075732575,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.322,[ 1.66781149e-06  2.11952363e-06 -1.43209730e-01  9.89692363e-01],[-0.08802148  0.08704563  0.        ],[-2.78776693 -3.75036122  0.        ],0.9734098184552334,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.33,[ 1.66781149e-06  2.11952363e-06 -1.43209730e-01  9.89692363e-01],[-0.08779806  0.0986146   0.        ],[0.02792708 1.44612074 0.        ],0.0,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.332,[ 1.81402487e-06  2.48439393e-06 -1.48024775e-01  9.88983653e-01],[-0.08779806  0.0986146   0.        ],[0. 0. 0.],4.866926181829199,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.34,[ 1.81402487e-06  2.48439393e-06 -1.48024775e-01  9.88983653e-01],[-0.07470606  0.08374892  0.        ],[ 1.63650037 -1.8582094   0.        ],0.0,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.383,[ 1.83955723e-06  1.35733506e-06 -1.72522770e-01  9.85005530e-01],[-0.0978162  0.0787906  0.       ],[-0.53744506 -0.11530987  0.        ],1.1543965547084227,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.413,[ 1.97272586e-06  2.05748012e-06 -1.87367984e-01  9.82289794e-01],[-0.10596866  0.0794803   0.        ],[-0.27174878  0.02298996  0.        ],1.0061144902974724,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.439,[ 9.32896912e-07 -2.54510247e-06 -1.96443190e-01  9.80515208e-01],[-0.10030363  0.11110298  0.        ],[0.2178858  1.21625685 0.        ],0.7113165758537348,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.455,[ 1.90737416e-07 -3.66438978e-07 -2.05847613e-01  9.78584059e-01],[-0.06651366  0.11258416  0.        ],[2.11187344 0.09257392 0.        ],1.2000860710395749,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.47,[ 1.09137672e-06 -4.71484296e-06 -2.09899608e-01  9.77722944e-01],[-0.08111675  0.0745421   0.        ],[-0.97353939 -2.53613744  0.        ],0.5523320698055889,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.48,[ 1.09137672e-06 -4.71484296e-06 -2.09899608e-01  9.77722944e-01],[-0.08904543  0.10127058  0.        ],[-0.7928681  2.6728484  0.       ],2.98023223876933e-06,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.494,[ 5.10302519e-08 -2.10313390e-07 -2.19912803e-01  9.75519533e-01],[-0.07305767  0.09818807  0.        ],[ 1.14198295 -0.2201792   0.        ],1.4646865842456749,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.513,[ 2.58266679e-08 -1.21361266e-07 -2.26089060e-01  9.74106635e-01],[-0.07785731  0.09771042  0.        ],[-0.25261281 -0.02513931  0.        ],0.6669280124160872,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.522,[ 3.62478346e-08 -1.39248162e-07 -2.28662273e-01  9.73505811e-01],[-0.0623661   0.11066885  0.        ],[1.72124538 1.43982519 0.        ],0.5872058607350088,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.539,[ 3.54323761e-08 -1.38007401e-07 -2.31499977e-01  9.72834909e-01],[-0.06036167  0.09213393  0.        ],[ 0.117908  -1.0902893  0.       ],0.3430513076252412,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.553,[ 3.38569797e-08 -1.35563482e-07 -2.37121977e-01  9.71479885e-01],[-0.07761737  0.10721373  0.        ],[-1.23255012  1.07712825  0.        ],0.826142553399441,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.573,[ 3.17374669e-08 -1.31789495e-07 -2.42677646e-01  9.70106984e-01],[-0.05189337  0.12817361  0.        ],[1.28619983 1.04799381 0.        ],0.5722796955024915,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.583,[ 2.98690370e-08 -1.28540715e-07 -2.45430964e-01  9.69414071e-01],[-0.11872519  0.12134987  0.        ],[-6.68318149 -0.68237316  0.        ],0.5678342609651171,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
