,time,stuck,x,y,z,rot_x,rot_y,rot_z,rot_w,linear_velocity,angular_velocity,cmd_vel_x,cmd_vel_twist,row
0,7680000000,0,-0.2508748104753411,0.2863691416836749,4.99021845733325e-16,1.0823505888139373e-08,-1.0497105956440476e-07,0.04052501970588187,0.9991785239774856,5.547853640357611e-07,-2.139990140707467e-12,0.0,0.0,0.0
0,7712000000,0,-0.15139893318708741,0.18399156994911461,-1.4420130922198915e-10,-1.0124457395867408e-06,-1.9879404606253243e-07,0.040480487491474024,0.9991803291355311,0.03457556861833866,-2.1408242974708496e-07,-1.0,-2.1073424255447055e-06,1.0
0,7745000000,0,-0.16773379351335282,0.1323834094377392,-5.174181831992435e-10,-6.014059216330847e-07,-1.9947375306787427e-07,0.03994953662162478,0.9992016986191107,0.06318570276902616,-0.015564045795561365,-1.0,-0.5251874283269454,2.0
0,7779000000,0,-0.09403348520315435,0.04093800552297113,1.6978499289472586e-09,-6.607859715903537e-07,2.339615852289625e-07,0.039167414067689504,0.9992326624339092,0.09636320570480543,-0.04199554355557972,-1.0,-0.7607691738813702,3.0
0,7813000000,0,-0.06278826429949294,0.0773077153753118,5.891150949451614e-09,-2.681145782220724e-07,5.499275045497746e-07,0.038092061309689895,0.9992742340643056,0.1265559438371916,-0.07410694642870397,-1.0,-1.0,4.0
0,7845000000,0,-0.08546619356109873,0.0744613311611532,2.9559921890959655e-09,-1.1211274624766866e-07,1.4256719431673772e-07,0.03672385972830274,0.9993254515555096,0.15252577170910384,-0.10089155371376472,-1.0,-0.9778716482235733,5.0
0,7879000000,0,-0.059481656912054766,0.08529145234997773,4.4896881182200375e-09,1.1652609828046021e-07,1.6736596429774324e-07,0.034141175769271795,0.9994170201257582,0.18233557345504603,-0.13159666173592996,-1.0,-0.9659332584479229,6.0
0,7912000000,0,-0.03656290006088222,0.10104424973838952,1.0604983763025473e-08,2.831106601363176e-07,3.714500811024315e-07,0.030272647607813424,0.9995416783739411,0.2094585680830768,-0.156208274120525,-1.0,-0.8619482024457561,7.0
0,7945000000,0,-0.04633270536263335,0.08003096856875255,1.8713772095668422e-08,4.7156193389500396e-07,5.81545058167344e-07,0.026303974300975832,0.9996539906064562,0.22989233569857997,-0.1707216604124985,-1.0,-0.7113417710134408,8.0
0,7980000000,0,-0.06968610186369444,0.07744229737826157,2.3003580691974134e-08,1.5969710438062297e-07,4.702070427117006e-07,0.019219606747205454,0.9998152862985424,0.26047718190245,-0.1931213043489915,-1.0,-0.7279862789738387,9.0
0,8026000000,0,-0.09461786961544816,0.08446019170942767,2.410954324993014e-08,-2.123315751282542e-07,3.579603618448602e-07,0.011605532174357953,0.9999326535436157,0.2856710865100738,-0.20744154484091537,-1.0,-0.41789834986715413,10.0
0,8071000000,0,-0.13337896442262934,0.11080944563855369,2.408749476725867e-08,-2.1572450424434268e-07,2.78381320159844e-07,0.004648454327581722,0.9999891958777556,0.3077621624735249,-0.21435761626299366,-1.0,-0.1573610008961926,11.0
