,time,stuck,x,y,z,rot_x,rot_y,rot_z,rot_w,linear_velocity,angular_velocity,cmd_vel_x,cmd_vel_twist
0,8688000000,0,-0.0378856161699805,0.12319601638103449,-1.3939850502596483e-10,2.007323105227672e-07,1.2542416570839765e-07,0.040261673017587436,0.9991891701203376,0.007475484854944461,-0.02968745433370854,0.0,-1.0,0.0
0,8697000000,0,-0.025737009541715337,0.1277062579137919,-1.9982621333341692e-11,3.1665377046899434e-07,2.8792046435730384e-07,0.0395171202395495,0.9992188935402442,0.009154392848673339,-0.05850565449313146,0.0,-1.0,1.0
0,8719000000,0,-0.03518978662049302,0.1157488253789389,6.515674628313397e-10,2.9891518515908283e-07,4.4106043712571505e-07,0.03757503131440455,0.9992938091579661,0.0395464014696827,-0.05636173870190095,-1.0,-0.017287741686217065,2.0
0,8749000000,0,-0.023870867019457783,0.11586432080247469,1.885575113587373e-09,7.162186636733788e-08,5.941856322963706e-07,0.035389905113106974,0.999373581107549,0.05958405555050983,-0.05616316467025521,-1.0,-0.017287741686217065,3.0
0,8787000000,0,-0.022272398665620623,0.12668884277647746,7.051168456605807e-09,-1.7936805424887983e-07,1.0709776849310007e-06,0.0330795461501523,0.9994527220560865,0.08744545956252997,-0.055693177279122895,-1.0,0.022869028195281964,4.0
0,8820000000,0,-0.011940564607768355,0.12039518114470989,9.225333110890774e-09,-1.2602637333376197e-07,5.460974483887539e-07,0.030659899669871628,0.9995298747670923,0.1214921563544125,-0.04901516644547299,-1.0,0.13563962979529182,5.0
0,8856000000,0,-0.027538075819064145,0.10241528864982917,1.0026044692167727e-08,-6.744877286502978e-07,4.6528586333436555e-07,0.029672056375817712,0.9995596875973735,0.14761232129791713,-0.04446542009725864,-1.0,0.07143972210232558,6.0
0,8904000000,0,-0.04042775584560524,0.11151097525112051,1.754758130133592e-08,-6.644384225740856e-07,6.128754056964771e-07,0.029140795036883556,0.9995753168540134,0.17743646213714245,-0.04059222418268038,-1.0,0.13212726853073836,7.0
0,8957000000,0,-0.054269290755994466,0.08789898080504796,2.6667409070022915e-08,-5.072936661503529e-07,7.274786172591082e-07,0.029352333724990905,0.9995691274264676,0.2125021744430552,-0.03308511741444593,-1.0,-0.008197254454377094,8.0
0,8960000000,0,-0.1020011264728487,0.08283248336154209,1.8092486154107854e-08,-4.0452760926890685e-07,2.7695199019717616e-07,0.029855509321908145,0.9995542249237352,0.24841123429934006,-0.03113570639573199,-1.0,-0.008197254454377094,9.0
0,9002000000,0,-0.14509297645502683,0.06513747872368178,2.0579028795086313e-08,-3.473039490336905e-07,3.480231402453772e-07,0.030355115315926006,0.9995391773081809,0.282883072173838,-0.029854497261376848,-1.0,-0.09879733120989723,10.0
0,9013000000,0,-0.17696986896520278,0.043203613643895175,3.6767933850396506e-08,-3.0713494171970944e-07,6.05619390791694e-07,0.030648382909474307,0.9995302279694062,0.3189055577826331,-0.0320727763897801,-1.0,-0.09879733120989723,11.0
0,9047000000,0,-0.20691416488051176,0.033122442453301475,4.320602458141089e-08,-2.86612308365052e-07,6.293217178835805e-07,0.030588626488282172,0.9995320584799079,0.34527918541031205,-0.03686836905597777,-1.0,-0.21467731363672957,12.0
0,9085000000,0,-0.22497397725118448,0.04280243765552866,5.7393924587619194e-08,-2.9103027843921086e-07,7.189282078634237e-07,0.029794186794687646,0.999556054672594,0.3670027610677588,-0.04367876740000413,-1.0,-0.2624459737881971,13.0
0,9128000000,0,-0.2698040316399017,0.05512946527890032,6.663838240016556e-08,-2.927478076691494e-07,6.871205379283984e-07,0.02771726775955239,0.9996158027299226,0.40230841127873246,-0.05014570831672569,-1.0,-0.0668971772603105,14.0
0,9156000000,0,-0.2967047016255886,0.04616435144787342,4.0060001644433876e-08,-2.689580963235892e-07,1.9076395112757474e-07,0.02596677636693445,0.9996628064127427,0.425944653424104,-0.051307516142276646,-1.0,-0.07619852531049352,15.0
0,9189000000,0,-0.31249095344960925,0.0432279865300459,1.4473990353598185e-08,-2.249873329161599e-07,-1.2316267089831579e-07,0.024128006773134647,0.9997088772683225,0.4452364873314657,-0.052782648550115545,-1.0,-0.07619852531049352,16.0
0,9235000000,0,-0.3400230544996962,0.046124747069573535,1.2053821315574151e-08,-2.0103096466006114e-07,-3.850796317302771e-08,0.022396756541735893,0.9997491611881294,0.46959711932451453,-0.05328949788297348,-1.0,0.006403221418545218,17.0
0,9285000000,0,-0.3711296330013309,0.056151405868772694,2.96466475653174e-08,-1.8143067860797357e-07,2.2726795333738866e-07,0.021143845479124384,0.9997764439104726,0.49188702105712295,-0.05184281092112611,-1.0,0.10070985006705413,18.0
0,9286000000,0,-0.40413783656402286,0.05336016236859901,2.4346876777289624e-08,-1.380657393105084e-07,1.5490819246966286e-07,0.02023615605923999,0.9997952280281712,0.5147002083754363,-0.047437491962328195,-1.0,0.10070985006705413,19.0
0,9333000000,0,-0.43087455988739887,0.05264048511155098,1.2161909591874808e-08,-6.716638083140237e-08,4.870974244235613e-08,0.019812860216435677,0.9998037060193551,0.5362342748260344,-0.04065045503236927,-1.0,0.11231526451670348,20.0
0,9347000000,0,-0.4629459010553652,0.06246448689303443,8.929579234653699e-09,-2.275314538621863e-08,5.270032569725155e-08,0.020061647445852517,0.9997987448990697,0.5569455340780863,-0.03513087494096936,-1.0,0.12495149602122005,21.0
0,9384000000,0,-0.4768717745846996,0.062075827270742026,1.4040248402661682e-08,6.216842651365422e-09,1.354063500931514e-07,0.020634108595520253,0.9997870941167675,0.5686709110081707,-0.027562688189898564,-1.0,0.19360815605711995,22.0
0,9441000000,0,-0.5479799123787463,0.058976969044469654,-1.3722148501361652e-09,5.968028540986174e-08,3.0055026173822154e-08,0.022114756477747174,0.9997554388678891,0.6084951781011422,-0.017936729001477813,-1.0,0.18500340524802109,23.0
0,9486000000,0,-0.5761180640339653,0.06223628112204056,-1.579356378767714e-08,1.118532568757616e-07,-7.581706198631865e-08,0.02390170615453178,0.999714313413029,0.6246746142396599,-0.011010230620517992,-1.0,0.16173310601352966,24.0
0,9487000000,0,-0.6290823938513694,0.08184364322055997,-3.327497055016454e-08,1.589068412802518e-07,-1.7892647445625024e-07,0.025733634910275145,0.9996688351820554,0.6525810774394651,-0.004343254605027269,-1.0,0.16173310601352966,25.0
0,9532000000,0,-0.6801762686243942,0.0802347186438654,-4.665384050431551e-08,1.793293754978998e-07,-1.842595811383731e-07,0.027312343106165263,0.9996269483732344,0.6788369574605878,0.008480104114324505,-1.0,0.2766730742173259,26.0
0,9547000000,0,-0.6943406882893877,0.09412126922158465,-4.951890324703035e-08,2.8317280616234586e-07,-1.559856207224337e-07,0.029914785437505788,0.9995524526567495,0.6846299272094489,0.0183657238852115,-1.0,0.2766730742173259,27.0
0,9590000000,0,-0.741163612647925,0.10132902996886226,-4.5973020412116585e-08,4.1667020801961236e-07,-8.086532373552047e-08,0.032672892167757595,0.9994660985332189,0.7074524578833353,0.030067108595752706,-1.0,0.3720331732512776,28.0
0,9638000000,0,-0.7780762014369481,0.0999624054971706,-3.7862408734911464e-08,5.402331208575267e-07,1.2208824032724419e-08,0.03652458684952063,0.9993327546694244,0.7234752308242335,0.046039027338959176,-1.0,0.31433828857495677,29.0
0,9686000000,0,-0.8375685205446064,0.0901433631443779,-2.9615658568686505e-08,5.922151254320907e-07,8.014424397211074e-08,0.04022561602650183,0.9991906223613847,0.7522224437556102,0.056899242173339165,-1.0,0.2102986278818045,30.0
0,9689000000,0,-0.8428048440963838,0.0805238206810961,-6.772494812281341e-08,4.214421602092889e-07,-2.0710690770016454e-07,0.04374173867038028,0.9990428721020292,0.7504746932407717,0.06350559949997035,-1.0,0.06343023013244349,31.0
0,9734000000,0,-0.8592668969764009,0.10327689777335271,-6.871212651411252e-08,3.4976467739413306e-07,-1.5925253070429177e-07,0.047273175770810257,0.9988819984624783,0.7529186705743103,0.0655256097616608,-1.0,0.1999192102070935,32.0
0,9746000000,0,-0.9049120491928785,0.11760451823305844,-6.38049733279346e-08,3.5454645686037077e-07,-8.523369041748786e-08,0.04995918445723076,0.9987512602686595,0.7724765927498064,0.07144148443819065,-1.0,0.1999192102070935,33.0
0,9779000000,0,-0.9310835531767916,0.10478422208496545,-5.5882825189430116e-08,3.407832825215816e-07,-1.8983627522198423e-08,0.05210916112492774,0.9986413947592698,0.7808658103958536,0.07985360428448127,-1.0,0.3191518215768381,34.0
