,time,stuck,x,y,z,rot_x,rot_y,rot_z,rot_w,linear_velocity,angular_velocity,cmd_vel_x,cmd_vel_twist
0,9830000000,0,-0.08146494098305934,0.09737833063355651,9.057612837680527e-10,7.200841829577965e-07,-1.0427711736036132e-07,0.04000314629695097,0.9991995537858367,0.006328043103194648,-0.04128766438350086,0.0,-1.0,0.0
0,9873000000,0,-0.09603862628345346,0.112998355547533,1.0435315799556032e-09,8.062173934361279e-07,-2.5862180371727597e-07,0.038680855403321814,0.9992516156727245,0.018437568344631828,-0.06921789462168786,-1.0,-5.790400274910247e-06,1.0
0,9873000000,0,-0.09860093498905274,0.14312634598880788,9.499737287161229e-10,8.419320328189893e-07,-1.4899685428051213e-07,0.03591695555604099,0.9993547779957097,0.05321657120466331,-0.06862124196444924,-1.0,-5.790400274910247e-06,2.0
0,9924000000,0,-0.08640154468807978,0.16621383922523275,-1.407070254672366e-09,7.087392714357159e-07,-6.041802745490065e-07,0.030724310237062392,0.9995278969391447,0.08062796904550794,-0.062489954994013365,-1.0,0.4189427981244512,3.0
0,9944000000,0,-0.09958142814210877,0.15593255972875533,-2.4804307226948537e-09,3.1923298520523694e-07,-3.583350690431598e-07,0.025604490775972454,0.9996721512835459,0.11704748845059831,-0.04721674214422508,-1.0,0.4189427981244512,4.0
0,9986000000,0,-0.13112579367518287,0.15718521991825563,1.2287913984456733e-09,4.898902090348099e-07,-7.673015499134423e-08,0.02241108834711949,0.9997488400187577,0.1540414658164212,-0.0382858631727583,-1.0,0.5630910686436937,5.0
0,10033000000,0,-0.15267683017738934,0.16377904356834722,5.706378117447665e-09,5.348522587686028e-07,1.5692444366451254e-07,0.019015711350183737,0.9998191850137383,0.1952281836660412,-0.01902004199538097,-1.0,0.6758538910968663,6.0
0,10082000000,0,-0.18216046826915241,0.16713358546167167,1.1759197873959036e-08,2.9813731833678597e-07,3.4603065834979437e-07,0.018003581299150223,0.9998379223955233,0.23400987236738177,0.0007422441758447681,-1.0,0.7296756475641695,7.0
0,10082000000,0,-0.18930529053322628,0.1600566146344311,5.689175978032627e-08,-5.097326594845798e-08,1.5956133481867284e-06,0.019855638418088052,0.999802857377624,0.25950170467241335,0.0287356068630056,-1.0,0.7296756475641695,8.0
0,10112000000,0,-0.21352940763372275,0.18245011630706848,1.0844889962914722e-07,-3.164267546304587e-07,2.4310735812043337e-06,0.024453460045852946,0.9997009694332478,0.2962354434522695,0.05410093297077391,-1.0,0.6598881564586674,9.0
0,10138000000,0,-0.22822655976258577,0.17714774279672013,1.6234539689084763e-07,-5.426175639263753e-07,2.9569610562684645e-06,0.030905378373096083,0.9995223146976647,0.3213493774647551,0.08010600665103097,-1.0,0.6992685547364854,10.0
0,10190000000,0,-0.23908661420235658,0.17848067251097147,2.013414887357556e-07,-5.899904859078516e-07,2.8917489088730624e-06,0.03682521882096303,0.999321721594241,0.3428801400517318,0.09922291772985199,-1.0,0.5513901958228926,11.0
0,10230000000,0,-0.27028411504704963,0.18118390494359843,2.085351653861914e-07,-5.397791235307785e-07,2.36562649583832e-06,0.04516302586875514,0.9989796299667429,0.3779161396999165,0.11703306450317508,-1.0,0.3146628928183132,12.0
0,10281000000,0,-0.3005080417888695,0.15305211959801113,2.052037789531404e-07,-3.8347902889426267e-07,1.932181402204509e-06,0.05217996247020532,0.9986376978227528,0.4080013578117279,0.12783184299891545,-1.0,0.03943633678197393,13.0
0,10281000000,0,-0.31670149811753756,0.15767066818066774,2.1100509922334233e-07,-3.1707646162495605e-07,1.642894470943564e-06,0.05629532243673617,0.9984141608916334,0.4272314709558823,0.12793325509963133,-1.0,-0.007449678464144428,14.0
0,10327000000,0,-0.36076590993290597,0.14150100399313958,1.976792617624066e-07,-2.1346140082829277e-07,1.1468356207239616e-06,0.06323520641568052,0.9979986516364666,0.46921699634510344,0.12609137112309507,-1.0,-0.21060276896463187,15.0
0,10338000000,0,-0.37715776164766524,0.13790140091761277,1.8279956255573251e-07,-1.2567963747298977e-07,9.129468872373383e-07,0.06720748125117453,0.9977390212189878,0.4869819951017279,0.11742208115213196,-1.0,-0.21060276896463187,16.0
0,10372000000,0,-0.392916376473911,0.10774531406058441,1.8161232418076963e-07,-3.59590459874702e-07,9.291764516969029e-07,0.0697226922567657,0.9975664119162571,0.5043944842831607,0.10447475564592527,-1.0,-0.3009800191697051,17.0
0,10410000000,0,-0.40803921100373086,0.10232985519325355,1.834157399303516e-07,-5.294189279481884e-07,9.603116966274784e-07,0.07039095045044091,0.9975194805583905,0.5182563549082637,0.08921115784280564,-1.0,-0.5178092235251696,18.0
0,10457000000,0,-0.4480893952664728,0.0789936100766095,1.3866114679030178e-07,8.630491508689297e-08,4.4781967072177707e-07,0.06930936024665478,0.9975952147950546,0.5532612559775621,0.05614095447234211,-1.0,-0.6541124024164107,19.0
0,10505000000,0,-0.4950897322467475,0.08350286606822456,1.4220887961932835e-07,3.393013515462025e-07,6.337190436620025e-07,0.06627547140360363,0.9978013639446047,0.5882642182890448,0.03219940303976741,-1.0,-0.543664885571369,20.0
0,10507000000,0,-0.5378800374075886,0.09733088011073948,1.125318645256641e-07,2.2653156002741864e-07,4.442384457834509e-07,0.061259307174738625,0.9981218849841047,0.6176958187833907,0.008198297921340561,-1.0,-0.543664885571369,21.0
0,10551000000,0,-0.5374193607620034,0.10752900493342893,9.025190591272725e-08,1.2526402829246594e-07,3.0647520081542875e-07,0.055420061239899863,0.9984631274173604,0.613403070358567,-0.009980159831447255,-1.0,-0.15135748223439632,22.0
